id,dbms,indexed,batch_size,experiment_size,preload_size,run_time,git_hash,rows_per_second,ms_per_transaction,timestamp
1695,mongodb,0,1500,100000,1000000,0.92,a81d770,108695.65,13.94,2022-03-28 10:12:04
1696,mysql,1,300,100000,1000000,21.26,a81d770,4703.67,63.84,2022-03-28 10:12:44
1697,mysql,1,50,100000,1000000,129.98,a81d770,769.35,64.99,2022-03-28 10:15:14
1698,mysql,0,10,100000,1000000,185.89,a81d770,537.95,18.59,2022-03-28 10:18:25
1699,mongodb,0,100,100000,1000000,1.73,a81d770,57803.47,1.73,2022-03-28 10:18:36
1700,postgres,1,2000,100000,1000000,9.65,a81d770,10362.69,193.0,2022-03-28 10:20:23
1701,mongodb,0,25,100000,1000000,3.68,a81d770,27173.91,0.92,2022-03-28 10:20:37
1702,postgres,1,100,100000,1000000,11.07,a81d770,9033.42,11.07,2022-03-28 10:22:26
1703,postgres,1,50,100000,1000000,15.76,a81d770,6345.18,7.88,2022-03-28 10:24:19
1704,postgres,1,2,100000,1000000,215.15,a81d770,464.79,4.3,2022-03-28 10:29:32
1705,mongodb,0,50,100000,1000000,2.2,a81d770,45454.55,1.1,2022-03-28 10:29:45
1706,mongodb,1,100,100000,1000000,3.13,a81d770,31948.88,3.13,2022-03-28 10:30:09
1707,mongodb,1,5,100000,1000000,14.24,a81d770,7022.47,0.71,2022-03-28 10:30:44
1708,mongodb,1,2000,100000,1000000,2.49,a81d770,40160.64,49.8,2022-03-28 10:31:07
1709,mysql,0,300,100000,1000000,10.48,a81d770,9541.98,31.47,2022-03-28 10:31:22
1710,mongodb,1,10,100000,1000000,8.13,a81d770,12300.12,0.81,2022-03-28 10:31:52
1711,mysql,0,2000,100000,1000000,3.75,a81d770,26666.67,75.0,2022-03-28 10:32:00
1712,postgres,1,5,100000,1000000,88.48,a81d770,1130.2,4.42,2022-03-28 10:35:06
1713,mongodb,1,300,100000,1000000,2.63,a81d770,38022.81,7.9,2022-03-28 10:35:30
1714,postgres,1,1500,100000,1000000,10.31,a81d770,9699.32,156.21,2022-03-28 10:37:18
1715,postgres,1,300,100000,1000000,10.0,a81d770,10000.0,30.03,2022-03-28 10:39:05
1716,mongodb,1,500,100000,1000000,2.49,a81d770,40160.64,12.45,2022-03-28 10:39:28
1717,mongodb,0,300,100000,1000000,1.23,a81d770,81300.81,3.69,2022-03-28 10:39:40
1718,mongodb,0,1000,100000,1000000,1.18,a81d770,84745.76,11.8,2022-03-28 10:39:51
1719,postgres,0,500,100000,1000000,8.45,a81d770,11834.32,42.25,2022-03-28 10:41:14
